Sample_ID,N0,U0,N1,U1,N2,U2,N3,U3,N4,U4,N5,U5,N6,U6,N7,U7,N8,U8,N9,U9,N10,U10,N11,N12
IN-1049,,,11745.374065051386,55900.10420481245,,,,,,,,,,,,,,,,,,,,
IN-1050,,,26630.350475726773,84421.74397205241,,,,,,,,,,,,,,,,,,,,
IN-1051,,,39034.49748462292,85355.81138255607,,,,,,,,,,,,,,,,,,,,
IN-1052,,,56287.53832426939,59831.87632809535,,,,,,,,,,,,,,,,,,,,
IN-1053,,,24036.756101139395,88766.24355579044,,,,,,,,,,,,,,,,,,,,
IN-1054,,,-771.5379166529132,89830.64595380623,,,,,,,,,,,,,,,,,22702.59700871186,,22060.791483157333,
IN-1055,,,14564.498385255061,108034.09920966842,,,,,,,,,,,,,,,,,,,,
IN-1056,,,25502.700747645304,110662.52145782993,,,,,,,,,,,,,,,,,,,,
IN-1057,,,39598.32234866366,73234.65754392707,,,,,,,,,,,,,,,,,,,,
IN-1058,,,34523.898572297054,82249.49418018342,,,,,,,,,,,,,,,,,,,,
IN-1059,,,23923.991128331247,70606.23529576558,,,,,,,,,,,,,,,,,,,,
IN-1060,,,18624.037406348347,104384.7195593285,,,,,,,,,,,,,,,,,,,,
IN-1061,,,33170.71889859929,71648.9151958627,,,,,,,,,,,,,,,,,,,,
IN-1062,,,43094.03650571622,73864.6099835691,,,,,,,,,,,,,,,,,,,,
IN-1063,,,29900.534687163035,104623.66703643411,,,,,,,,,,,,,,,,,,,,
IN-1064,,,12421.963901900268,65566.6157786295,,,,,,,,,,,,,,,,,12417.211270174063,,,
IN-1065,,,17045.327787034286,81250.25927592367,,,,,,,,,,,,,,,,,,,,
IN-1066,,,27194.17533976751,79555.90443826588,,,,,,,,,,,,,,,,,,,,
IN-1067,,,20428.276971278698,67217.52562044993,,,,,,,,,,,,,,,,,,,,
IN-1068,,,44221.686233797685,74147.00245651205,,,,,,,,,,,,,,,,,,,,
IN-1069,,,33057.953925791146,80837.53181546857,,,,,,,,,,,,,,,,,,,,
IN-1070,,,29111.179877506,95912.94537103942,,,,,,,,,,,,,,,,,,,,
IN-1071,,,24036.756101139395,65696.95076614164,,,,,,,,,,,,,,,,,,,,
IN-1072,,,40838.737049553274,63959.150932646444,,,,,,,,,,,,,,,,,,,,
IN-1073,,,43545.0963969488,69780.78037485537,,,,,,,,,,,,,,,,,,,,
IN-1074,,,17834.682596691317,110401.85148280564,,,,,,,,,,,,,,,,,,,,
IN-1075,,,24375.051019563834,72191.97764382996,,,,,,,,,,,,,,,,,,,,
IN-1076,,,22909.106373057923,68542.59799349002,,,,,,,,,,,,,,,,,,,,
IN-1077,,,,,31323.026577853154,57972.829520391766,,,,,,,,,,,,,,,,,,
IN-1078,,,,,30025.575900911754,79743.19123837817,,,,,,,,,,,,,,,,,,
IN-1079,,,,,19410.070362300314,111045.07823063205,,,,,,,,,,,,,,,,,,
IN-1080,,,,,19881.87060846082,109456.49068492079,,,,,,,,,,,,,,,,,,
IN-1081,,,,,24363.97294698565,86030.41800379874,,,,,,,,,,,,,,,,,,
IN-1082,,,,,51374.53703967474,46248.60594359333,,,,,,,,,,,,,,,,,,
IN-1083,,,,,30615.32620861239,87305.76293486267,,,,,,,,,,,,,,,,,,
IN-1084,,,,,39225.68070104166,109971.10355184136,,,,,,,,,,,,,,,,,,
IN-1085,,,,,26605.024116248063,109792.10777204289,,,,,,,,,,,,,,,,,,
IN-1086,,,,,29789.675777831497,60434.021492620464,,,,,,,,,,,,,,,,,,
IN-1087,,,,,40287.23125490281,62179.230345655335,,,,,,,,,,,,,,,,,,
IN-1088,,,,,35569.22879329773,100730.44641974638,,,,,,,,,,,,,,,,,,
IN-1089,,,,,21415.221408482474,89118.09520532197,,,,,,,,,,,,,,,,,,
IN-1090,,,,,26251.17393162768,81063.28511439177,,,,,,,,,,,,,,,,,,
IN-1091,,,,,26722.974177788194,66206.63539112045,,,,,,,,,,,,,,,,,,
IN-1092,,,,,34035.877993276066,70211.66596411075,,,,,,,,,,,,,,,,,,
IN-1093,,,,,35569.22879329772,63096.58371712239,,,,,,,,,,,,,,,37190.61347912531,,,
IN-1094,,,,,41584.68193184421,87216.26504496345,,,,,,,,,,,,,,,,,,
IN-1095,,,,,35333.32867021747,49448.15550749063,,,,,,,,,,,,,,,,,,
IN-1096,,,,,33564.07774711556,59248.17445145572,,,,,,,,,,,,,,,28121.778741919945,,,
IN-1097,,,,,43353.93285494611,71106.64486310302,,,,,,,,,,,,,,,,,,
IN-1098,,,,,32974.327439414934,57614.837960794874,,,,,,,,,,,,,,,,,,
IN-1099,,,,,33328.17762403531,75111.67543609331,,,,,,,,,,,,,,,,,,
IN-1100,,,,,54559.18870125817,122142.8165781359,,,,,,,,,,,,,,,,,,
IN-1101,,,,,35805.128916377966,113014.03180841498,,,,,,,,,,,,,,,,,,
IN-1102,,,,,30497.376147072253,85023.56674243245,,,,,,,,,,,,,,,,,,
IN-1103,,,,,54677.1387627983,86119.91589369795,,,,,,,,,,,,,,,,,,
IN-1104,,,,,47010.38476269005,96837.28820913013,,,,,,,,,,,,,,,,,,
IN-1105,,,,,,,30201.495296367793,129073.84882904957,,,,,,,,,,,,,,,,
IN-1106,,,,,,,42096.981751078514,103135.87146332345,,,,,,,,,,,,,42278.00857560637,,,
IN-1107,,,,,,,71894.58643466081,94946.17342337169,,,,,,,,,,,,,,,,
IN-1108,,,,,,,34323.6935727527,132897.2813433786,,,,,,,,,,,,,,,,
IN-1109,,,,,,,61765.75638411503,119468.06467267965,,,,,,,,,,,,,,,,
IN-1110,,,,,,,23017.09258609696,140520.54493676306,,,,,,,,,,,,,,,,
IN-1111,,,,,,,24312.640615817927,116659.49387511695,,,,,,,,,,,,,,,,
IN-1112,,,,,,,30908.15785803378,131528.3980975077,,,,,,,,,,,,,,,,
IN-1113,,,,,,,36443.68125775064,140520.54493676306,,,,,,,,,,,,,,,,
IN-1114,,,,,,,28081.507611369845,140520.54493676306,,,,,,,,,,,,,,,,
IN-1115,,,,,,,31732.597513310753,140142.9219723849,,,,,,,,,,,,,,,,
IN-1116,,,,,,,55876.90170356518,92822.04424874445,,,,,,,,,,,,,,,,
IN-1117,,,,,,,32557.037168587736,98297.57723222804,,,,,,,,,,,,,,,,
IN-1118,,,,,,,14419.364752494164,101200.55377088528,,,,,,,,,,,,,,,,
IN-1119,,,,,,,20897.104901099014,135281.02630601588,,,,,,,,,,,,,,,,
IN-1120,,,,,,,59999.09997995009,52557.9956719212,,,,,,,,,,,,,,,,
IN-1121,,,,,,,31614.820419699758,111821.19964402154,,,,,,,,,,,,,,,,
IN-1122,,,,,,,26314.851207204883,118311.59434427148,,,,,,,,,,,,,,,,
IN-1123,,,,,,,25961.519926371893,140520.54493676306,,,,,,,,,,,,,,,,
IN-1124,,,,,,,27021.513768870867,120813.34648327692,,,,,,,,,,,,,,,,
IN-1125,,,,,,,27845.953424147847,127445.34979516866,,,,,,,,,,,,,,,,
IN-1126,,,,,,,19954.888152211035,140520.54493676306,,,,,,,,,,,,,,,,
IN-1127,,,,,,,18777.11721610106,119727.68046068966,,,,,,,,,,,,,,,,
IN-1128,,,,,,,64121.298256335,77599.11849724913,,,,,,,,,,,,,,,,
IN-1129,,,,,,,29848.164015534803,129593.08040506956,,,,,,,,,,,,,,,,
IN-1130,,,,,,,30437.049483589788,121474.18667093873,,,,,,,,,,,,,,,,
IN-1131,,,,,,,10414.943569720259,16471.40113853157,,,,,,,,,,,,,12085.424633447037,,,
IN-1132,,,,,,,11357.160318608234,16707.415491267933,,,,,,,,,,,,,,,,
IN-1133,,,,,,,,,14159.34067788455,13210.370429148603,,,,,,,,,,,,,,
IN-1134,,,,,,,,,11096.14496913221,6854.1706215416125,,,,,,,,,,,,,,
IN-1135,,,,,,,,,13365.178827467274,10474.790765115216,,,,,,,,,,,,,,
IN-1136,,,,,,,,,12230.66189829974,10816.738223119391,,,,,,,,,,,,,,
IN-1137,,,,,,,,,11549.95174079922,12486.246400433884,,,,,,,,,,,,,,
IN-1138,,,,,,,,,13251.72713455052,12868.422971144431,,,,,,,,,,,,,,
IN-1139,,,,,,,,,12117.21020538299,11802.351484425535,,,,,,,,,,,11643.042451144338,,,
IN-1140,,,,,,,,,13705.533906217535,12526.475513140258,,,,,,,,,,,,,,
IN-1141,,,,,,,,,17449.43977247039,12727.621076672121,,,,,,,,,,,,,,
IN-1142,,,,,,,,,14726.599142468316,14960.336831875848,,,,,,,,,,,,,,
IN-1143,,,,,,,,,11776.855126632727,9931.697743579176,,,,,,,,,,,,,,
IN-1144,,,,,,,,,12230.66189829974,12506.360956787072,,,,,,,,,,,,,,
IN-1145,,,,,,,,,10642.338197465198,6914.514290601172,,,,,,,,,,,,,,
IN-1146,,,,,,,,,12457.56528413325,9348.375609336761,,,,,,,,,,,,,,
IN-1147,,,,,,,,,14159.34067788455,10997.76923029807,,,,,,,,,,,,,,
IN-1148,,,,,,,,,13932.437292051043,13009.224865616738,,,,,,,,,,,,,,
IN-1149,,,,,,,,,15747.664378719097,19647.028462168342,,,,,,,,,,,13854.953362657841,,,
IN-1150,,,,,,,,,12344.113591216497,16328.126663892539,,,,,,,,,,,,11474.880730917954,,
IN-1151,,,,,,,,,10528.886504548444,9489.17750380907,,,,,,,,,,,,,,
IN-1152,,,,,,,,,17562.891465387143,23810.741627277985,,,,,,,,,,,,,,
IN-1153,,,,,,,,,10869.241583298704,9167.344602158082,,,,,,,,,,,,,,
IN-1154,,,,,,,,,11890.306819549483,8362.762348030614,,,,,,,,,,,,,,
IN-1155,,,,,,,,,13932.437292051043,12767.850189378496,,,,,,,,,,,,,,
IN-1156,,,,,,,,,12797.920362883508,11098.342012064002,,,,,,,,,,,,,,
IN-1157,,,,,,,,,12230.66189829974,18641.300644509007,,,,,,,,,,,,,,
IN-1158,,,,,,,,,9848.176347047925,3937.559950329544,,,,,,,,,,,,,,
IN-1159,,,,,,,,,11096.14496913221,13411.51599268047,,,,,,,,,,,,,,
IN-1160,,,,,,,,,12684.468669966756,15483.315297058698,,,,,,,,,,,,,,
IN-1161,,,,,,,,,,,14663.928751713633,13291.430219569444,,,,,,,,,,,,
IN-1162,,,,,,,,,,,12508.036142661951,13291.427936197504,,,,,,,,,,,,
IN-1163,,,,,,,,,,,10238.675501554917,13291.426973729682,,,,,,,,,,4492.197418617418,,
IN-1164,,,,,,,,,,,7969.314860447885,13291.427285702011,,,,,,,,,,,,
IN-1165,,,,,,,,,,,6948.102571949722,13291.427119759283,,,,,,,,,6776.838445814628,,,
IN-1166,,,,,,,,,,,7061.570604005073,13291.426933903425,,,,,,,,,,,,
IN-1167,,,,,,,,,,,8763.591084835345,13291.427000280519,,,,,,,,,,,,
IN-1168,,,,,,,,,,,8990.52714894605,13291.427189455228,,,,,,,,,,,,
IN-1169,,,,,,,,,,,8309.718956613939,13291.427016874792,,,,,,,,,,,,
IN-1170,,,,,,,,,,,6494.230443728313,13291.426890758315,,,,,,,,,,,,
IN-1171,,,,,,,,,,,11600.291886219138,13291.427518021828,,,,,,,,,,,,
IN-1172,,,,,,,,,,,7288.506668115774,13291.427006918226,,,,,,,,,,,,
IN-1173,,,,,,,,,,,5132.614059064095,13291.426728134446,,,,,,,,,,,,
IN-1174,,,,,,,,,,,7515.442732226479,13291.427026831354,,,,,,,,,,,,
IN-1175,,,,,,,,,,,9444.399277167457,13291.427156266682,,,,,,,,,,,,
IN-1176,,,,,,,,,,,9330.931245112106,13291.427093208446,,,,,,,,,,,,
IN-1177,,,,,,,,,,,5813.422251396205,13291.426960454262,,,,,,,,,,,,
IN-1178,,,,,,,,,,,7742.378796337181,13291.42746823901,,,,,,,,,,,,
IN-1179,,,,,,,,,,,11146.41975799773,13291.427484833284,,,,,,,,,,,,
IN-1180,,,,,,,,,,,8877.0591168907,13291.427169542101,,,,,,,,,,,,
IN-1181,,,,,,,,,,,8309.718956613939,13291.426887439462,,,,,,,,,,,,
IN-1182,,,,,,,,,,,10579.079597720973,13291.427375311085,,,,,,,,,10758.278086538936,,9473.747302827203,
IN-1183,,,,,,,,,,,8196.250924558588,13291.427166223246,,,,,,,,,,,,
IN-1184,,,,,,,,,,,10919.483693887028,13291.42698036739,,,,,,,,,8103.98499272273,,,
IN-1185,,,,,,,,,,,8536.655020724644,13291.426844294352,,,,,,,,,8435.771629449755,,,
IN-1186,,,,,,,,,,,9217.463213056753,13291.427186136374,,,,,,,,,,,,
IN-1187,,,,,,,,,,,11373.355822108431,13291.427445007028,,,,,,,,,,,,
IN-1188,,,,,,,,,,,8877.0591168907,13291.427073295317,,,,,,,,,,,,
IN-1189,,,,,,,,,,,,,7753.821488665576,3863.7364346303752,,,,,,,,3127.7650472483488,,
IN-1190,,,,,,,,,,,,,10908.041229240174,9203.830364802643,,,,,,,,,,
IN-1191,,,,,,,,,,,,,10908.041229240174,5587.033679028598,,,,,,,,,,
IN-1192,,,,,,,,,,,,,10232.136999117045,4501.994673296384,,,,,,,8546.36717502543,,8226.382564235928,
IN-1193,,,,,,,,,,,,,8542.376423809226,3672.2589630305733,,,,,,,,,,
IN-1194,,,,,,,,,,,,,12034.548279445387,13671.638035464699,,,,,,,,,,
IN-1195,,,,,,,,,,,,,30396.613197790368,109048.69416678848,,,,,,,,,,
IN-1196,,,,,,,,,,,,,31635.770953016105,110155.0084471429,,,,,,,,,,
IN-1197,,,,,,,,,,,,,28932.15403252359,110857.0925096755,,,,,,,,,,
IN-1198,,,,,,,,,,,,,26341.1878170516,126898.64957481452,,,,,,,,,,
IN-1199,,,,,,,,,,,,,38620.11466428842,121835.13421473085,,,,,,,,,,
IN-1200,,,,,,,,,,,,,53715.309137038275,117601.354564913,,,,,,,,,,
IN-1201,,,,,,,,,,,,,33663.48364338549,106389.28483901345,,,,,,,,,,
IN-1202,,,,,,,,,,,,,35803.84703877539,111878.30569154111,,,,,,,,,,
IN-1203,,,,,,,,,,,,,23637.570896559086,109240.1716383883,,,,,,,,,,
IN-1204,,,,,,,,,,,,,44477.951325355534,111984.68206465214,,,,,,,,,,
IN-1205,,,,,,,,,,,,,7415.869373604012,127005.02594792552,,,,,,,22481.405917560507,,,
IN-1206,,,,,,,,,,,,,57320.13169769497,122218.08915793046,,,,,,,,,,
IN-1207,,,,,,,,,,,,,40647.827354657806,99049.31509435436,,,,,,,,101386.96096775332,,
IN-1208,,,,,,,,,,,,,32086.37377309818,114261.13644922755,,,,,,,,,,
IN-1209,,,,,,,,,,,,,27242.393457215767,116941.82105162476,,,,,,,,,,
IN-1210,,,,,,,,,,,,,41323.73158478093,127005.02594792552,,,,,,,,,,
IN-1211,,,,,,,,,,,,,83455.09526245593,91879.54754667288,,,,,,,,,,
IN-1212,,,,,,,,,,,,,23299.618781497524,126260.39133614849,,,,,,,,,,
IN-1213,,,,,,,,,,,,,45942.410490622315,127005.02594792552,,,,,,,,,,
IN-1214,,,,,,,,,,,,,35578.54562873435,102368.2579354176,,,,,,,,,,
IN-1215,,,,,,,,,,,,,47857.472475971175,83965.14538721436,,,,,,,,108249.25318846242,,
IN-1216,,,,,,,,,,,,,29720.70896766724,107006.26780305727,,,,,,,,,,
IN-1217,,,,,,,,,,,,,,,-7211.569710973186,99247.18209767486,,,,,,,,
IN-1218,,,,,,,,,,,,,,,-7211.5697110245765,101591.44588435614,,,,,,96531.18694023398,,
IN-1219,,,,,,,,,,,,,,,-7211.569710793326,108135.84895550809,,,,,33540.96047512803,,,
IN-1220,,,,,,,,,,,,,,,-7211.569710973186,127427.18636673946,,,,,,,,
IN-1221,,,,,,,,,,,,,,,-7211.569710998881,102665.90011991841,,,,,,,,
IN-1222,,,,,,,,,,,,,,,-7211.569710741936,109014.94787551358,,,,,,,,
IN-1223,,,,,,,,,,,,,,,-7211.569710767631,139929.92656237294,,,,,,,,
IN-1224,,,,,,,,,,,,,,,-7211.569710973186,135973.9814223483,,,,,,,,
IN-1225,,,,,,,,,,,,,,,-7211.569710767631,112995.3124299828,,,,,,,,
IN-1226,,,,,,,,,,,,,,,-7211.569710819021,94876.10691209206,,,,,,,,
IN-1227,,,,,,,,,,,,,,,-7211.569710767631,122567.72289226472,,,,,,,,
IN-1228,,,,,,,,,,,,,,,-7211.569711050271,119075.74662668741,,,,,,,,
IN-1229,,,,,,,,,,,,,,,-7211.56971087041,131822.68096676687,,,,,38628.355571609085,,,
IN-1230,,,,,,,,,,,,,,,-7211.569711075966,138220.5675512512,,,,,21154.259370652406,,,
IN-1231,,,,,,,,,,,,,,,-7211.569710767631,125253.85848117036,,,,,,118442.36560986667,,
IN-1232,,,,,,,,,,,,,,,-7211.569710741936,134459.9777267833,,,,,24582.721283498337,,,
IN-1233,,,,,,,,,,,,,,,-7211.569710896104,117781.51766112375,,,,,,,,
IN-1234,,,,,,,,,,,,,,,-7211.569710767631,99735.57038656682,,,,,44600.51503269555,,,
IN-1235,,,,,,,,,,,,,,,-7211.569710639159,98294.8249343356,,,,,,,,
IN-1236,,,,,,,,,,,,,,,-7211.569710793326,106328.81228660792,,,,,,,,
IN-1237,,,,,,,,,,,,,,,-7211.569710998881,108746.33431662303,,,,,,,,
IN-1238,,,,,,,,,,,,,,,-7211.569710998881,104472.93678881858,,,,,,,,
IN-1239,,,,,,,,,,,,,,,-7211.569710767631,124765.47019227839,,,,,,,,
IN-1240,,,,,,,,,,,,,,,-7211.569710947492,118245.48653557111,,,,,,,,
IN-1241,,,,,,,,,,,,,,,-7211.569710639159,90505.03172650925,,,,,,,,
IN-1242,,,,,,,,,,,,,,,-7211.569710896104,88478.22032760773,,,,,,,,
IN-1243,,,,,,,,,,,,,,,-7211.569710639159,112995.3124299828,,,,,,,,
IN-1244,,,,,,,,,,,,,,,-7211.5697110245765,108380.04309995405,,,,,,,,
IN-1245,,,,,,,,,,,,,,,,,36749.25590472118,121531.67868737684,,,,,,
IN-1246,,,,,,,,,,,,,,,,,48010.44474703811,123272.11460913022,,,,,,
IN-1247,,,,,,,,,,,,,,,,,26614.18594663595,123375.71198542509,,,,,,
IN-1248,,,,,,,,,,,,,,,,,46433.87830911374,123665.78463905063,,,,,,
IN-1249,,,,,,,,,,,,,,,,,46208.6545322674,123375.71198542509,,,,,,
IN-1250,,,,,,,,,,,,,,,,,62537.378353626955,115336.55558494519,,,,,,
IN-1251,,,,,,,,,,,,,,,,,59609.46925462456,120371.3880728746,,,,,,
IN-1252,,,,,,,,,,,,,,,,,42154.62654903332,90162.39314529809,,,,,,
IN-1253,,,,,,,,,,,,,,,,,20870.97963705432,84775.3295779662,,,,,,
IN-1254,,,,,,,,,,,,,,,,,26276.350281366438,88815.62725346512,,,,,,
IN-1255,,,,,,,,,,,,,,,,,41141.11955322479,123665.78463905063,,,37190.61347912531,,,
IN-1256,,,,,,,,,,,,,,,,,27515.081054021306,103236.3820337074,,,,,,
IN-1257,,,,,,,,,,,,,,,,,15352.997104319016,123044.2003812816,,,14186.739999384867,,,
IN-1258,,,,,,,,,,,,,,,,,23123.217405517702,92752.3275526692,,,21264.85491622808,,,
IN-1259,,,,,,,,,,,,,,,,,11073.745344238583,8382.624298148281,,,,,,
IN-1260,,,,,,,,,,,,,,,,,7695.388691543505,17872.143966755986,,,7772.198355995703,,6865.621031227266,
IN-1261,,,,,,,,,,,,,,,,,8483.67191050569,4922.471929900493,,,,,,
IN-1262,,,,,,,,,,,,,,,,,7582.776803120336,5357.5809103388365,,,,,,
IN-1263,,,,,,,,,,,,,,,,,10398.074013699568,14184.07737065954,,,9099.344902903806,,,
IN-1264,,,,,,,,,,,,,,,,,6681.881695734984,8527.660624961061,,,6776.838445814628,,,
IN-1265,,,,,,,,,,,,,,,,,6907.10547258132,9377.159110578783,,,,,,
IN-1266,,,,,,,,,,,,,,,,,8483.67191050569,3969.3760679879288,,,,,,
IN-1267,,,,,,,,,,,,,,,,,8708.89568735203,7346.650535199842,,,,,,
IN-1268,,,,,,,,,,,,,,,,,9609.790794737386,12630.116726236885,,,7219.2206281173285,,,
IN-1269,,,,,,,,,,,,,,,,,12199.86422847028,5544.056187669556,,,,,,
IN-1270,,,,,,,,,,,,,,,,,6456.657918888645,7823.198466156124,,,6666.242900238953,,,
IN-1271,,,,,,,,,,,,,,,,,6907.105472581321,6020.604118625839,,,6555.647354663277,,,
IN-1272,,,,,,,,,,,,,,,,,10623.297790545908,7056.577881574279,,,,7742.756891584909,8453.176153070706,10616.229283073319
IN-1273,,,,,,,,,,,,,,,,,,,7948.501273454668,7326.818611255342,,,,10616.229283073319
IN-1274,,,,,,,,,,,,,,,,,,,7603.491059336487,9943.99756247329,,,,
IN-1275,,,,,,,,,,,,,,,,,,,7488.487654630427,17553.610311392706,,,,
IN-1276,,,,,,,,,,,,,,,,,,,7603.491059336486,6293.142891026404,,,,
IN-1277,,,,,,,,,,,,,,,,,,,6568.460416981945,7920.632322876221,,,,
IN-1278,,,,,,,,,,,,,,,,,,,7258.480845218307,8272.521929762668,,,6865.621031227265,
IN-1279,,,,,,,,,,,,,,,,,,,6568.460416981945,7084.894506520909,,,7205.81141447943,
IN-1280,,,,,,,,,,,,,,,,,,,10708.582986400115,11197.604287006257,,,9133.556919575036,
IN-1281,,,,,,,,,,,,,,,,,,,11053.593200518297,4181.805249707722,,,9813.937686079369,
IN-1282,,,,,,,,,,,,,,,,,,,11743.613628754658,7040.908305660105,,,9700.540891661978,
IN-1283,,,,,,,,,,,,,,,,,,,8753.525106397088,4445.722454872557,,,,11146.443359954728
IN-1284,,,,,,,,,,,,,,,,,,,8293.511487572847,7106.887606951313,,,,11146.443359954728
IN-1285,,,,,,,,,,,,,,,,,,,11513.606819342536,12319.252408956805,,,,
IN-1286,,,,,,,,,,,,,,,,,,,10133.565962869816,7744.687519432998,,,7659.398592148985,
IN-1287,,,,,,,,,,,,,,,,,,,6108.446798157702,8646.404637079519,,,,
IN-1288,,,,,,,,,,,,,,,,,,,8063.504678160727,10515.818173663767,,,,
IN-1289,,,,,,,,,,,,,,,,,,,10708.582986400117,13023.0316227297,,,7886.192180983764,
IN-1290,,,,,,,,,,,,,,,,,,,10478.576176987997,12055.335203791974,,,,
IN-1291,,,,,,,,,,,,,,,,,,,9328.542129927391,12451.211011539226,,,,
IN-1292,,,,,,,,,,,,,,,,,,,7833.4978687486055,6117.19808758318,,,,
IN-1293,,,,,,,,,,,,,,,,,,,5763.436584039522,4885.584463480616,,,,
IN-1294,,,,,,,,,,,,,,,,,,,7718.494464042546,6535.066995760836,,,,
IN-1295,,,,,,,,,,,,,,,,,,,10823.586391106177,38974.89013060515,,,,
IN-1296,,,,,,,,,,,,,,,,,,,7603.491059336487,4929.570664341422,,,,
IN-1297,,,,,,,,,,,,,,,,,,,9788.555748751634,5149.501668645451,,,,
IN-1298,,,,,,,,,,,,,,,,,,,10363.572772281936,11373.549090449482,,,,
IN-1299,,,,,,,,,,,,,,,,,,,7373.484249924365,10383.85957108135,,,,
IN-1300,,,,,,,,,,,,,,,,,,,6338.453607569823,14122.686644249845,,,,
IN-1301,10630.740861614046,8638.298717146286,,,,,,,,,,,,,,,,,,,,,,
IN-1302,9399.303605731233,6102.674023456604,,,,,,,,,,,,,,,,,,,,,6071.843470305546,
IN-1303,8503.712874180097,5820.937946379972,,,,,,,,,,,,,,,,,,,,,,
IN-1304,8615.66171562399,6644.474171680895,,,,,,,,,,,,,,,,,,,,,,
IN-1305,8391.764032736206,10892.18733375934,,,,,,,,,,,,,,,,,,,,,,
IN-1306,9399.303605731233,6232.706059030434,,,,,,,,,,,,,,,,,,,,,,
IN-1307,11078.536227389612,10155.339132174304,,,,,,,,,,,,,,,,,,,,,,
IN-1308,10182.945495838478,6666.146177609868,,,,,,,,,,,,,,,,,,,,,,
IN-1309,6824.480252521719,8161.514586708912,,,,,,,,,,,,,,,,,,,,,,
IN-1310,8055.917508404529,10545.435238895794,,,,,,,,,,,,,,,,,,,,,,
IN-1311,7943.968666960637,8226.530604495827,,,,,,,,,,,,,,,,,,,,,,
IN-1312,8615.66171562399,11152.251404907001,,,,,,,,,,,,,,,,,,,,,,
IN-1313,8055.917508404529,10523.763232966823,,,,,,,,,,,,,,,,,,,,,,
IN-1314,10966.587385945719,12322.539725071469,,,,,,,,,,,,,,,,,,,,,7205.811414479432,
IN-1315,8391.764032736204,8616.626711217315,,,,,,,,,,,,,,,,,,,,,,
IN-1316,9511.252447175124,7077.914290260328,,,,,,,,,,,,,,,,,,,,,,
IN-1317,8055.917508404529,10892.18733375934,,,,,,,,,,,,,,,,,,,,,,
IN-1318,9399.303605731233,13059.387926656504,,,,,,,,,,,,,,,,,,,,,,
IN-1319,10518.792020170153,12149.163677639695,,,,,,,,,,,,,,,,,,,,,,
IN-1320,10182.945495838478,10415.403203321963,,,,,,,,,,,,,,,,,,,,,,
IN-1321,11862.178117496855,15768.388667777961,,,,,,,,,,,,,,,,,,,,,7772.795386566373,
IN-1322,9735.15013006291,10502.09122703785,,,,,,,,,,,,,,,,,,,,,,
