Sample_ID,N0,U0,N1,U1,N2,U2,N3,U3,N4,U4,N5,U5
MN-0953,74284.46932353167,48503.77476217163,,,,,,,,,,
MN-0954,103860.33015707317,57929.574757003385,,,,,,,,,,
MN-0955,50766.314925775776,91991.51214663991,,,,,,,,,,
MN-0956,116688.41437403094,32371.598731897233,,,,,,,,,,
MN-0957,82361.41123791247,23706.315607064123,,,,,,,,,,
MN-0958,81529.96133496151,53712.16302337451,,,,,,,,,,
MN-0959,104335.44438733088,45876.534665812665,,,,,,,,,,
MN-0960,89013.01046152019,47904.579652475724,,,,,,,,,,
MN-0961,68107.98433018163,49840.44077610866,,,,,,,,,,
MN-0962,100653.30910283372,47881.53368671819,,,,,,,,,,
MN-0963,78916.83306854418,29398.669149175243,,,,,,,,,,
MN-0964,80460.9543168817,60810.320476695255,,,,,,,,,,
MN-0965,111580.93639876072,34100.04616371235,,,,,,,,,,
MN-0966,73690.57653570954,51937.62366004432,,,,,,,,,,
MN-0967,43164.487241652656,53873.48478367726,,,,,,,,,,
MN-0968,66207.52740915083,50324.406057016895,,,,,,,,,,
MN-0969,60743.713761187355,29767.4046012958,,,,,,,,,,
MN-0970,76066.14768699803,37234.297506737086,,,,,,,,,,
MN-0971,76303.70480212686,39216.25056188509,,,,,,,,,,
MN-0972,157785.79529132156,28822.520005236867,,,,,,,,,,
MN-0973,75947.36912943359,47743.25789217299,,,,,,,,,,
MN-0974,86874.99642536059,37003.83784916174,,,,,,,,,,
MN-0975,111699.71495632512,27301.486265239564,,,,,,,,,,
MN-0976,137355.88339024066,37026.88381491928,,,,,,,,,,
MN-0977,53973.3359800152,35252.34445158908,,,,,,,,,,
MN-0978,105048.1157327174,23637.17770979152,,,,,,,,,,
MN-0979,91151.02449767983,33201.25349916849,,,,,,,,,,
MN-0980,85330.87517702306,34330.50582128769,,,,,,,,,,
MN-0981,,,,,,,102190.55720373003,37358.55000227408,,,63477.043676581205,-13003.791769735544
MN-0982,,,,,,,135965.96153361048,28308.86551181751,,,63477.04363269996,-13003.791769426382
MN-0983,,,,,,,67961.79174190486,44819.837214959975,,,63477.04371215725,-13003.791770028363
MN-0984,,,,,,,94710.09852664241,28476.06522526705,,,63477.043682407246,-13003.791769472688
MN-0985,,,,,,,99357.05012907564,51361.52600367338,,,63477.04367893641,-13003.791770244232
MN-0986,,,,,,,65241.62495023663,34139.95551837036,,,63477.04371810724,-13003.791769624544
MN-0987,,,,,,,82356.00768114923,37672.04946499197,,,63477.043698397865,-13003.79176975393
MN-0988,,,,,,,75782.27126795102,25111.170992094983,,,63477.0437054635,-13003.79176936986
MN-0989,,,,,,,92329.95258393273,25382.870526450497,,,63477.043687365585,-13003.791769388248
MN-0990,,,,,,,93236.67484782211,20450.47897968895,,,63477.043686373916,-13003.791769196894
MN-0991,,,,,,,79975.86173843953,31903.6593509827,,,63477.04370323225,-13003.791769553043
MN-0992,,,,,,,81789.30626621834,22979.3746456133,,,63477.043699389535,-13003.791769291549
MN-0993,,,,,,,79862.52145545336,13323.591193902137,,32282.474394296274,63477.043703604126,-13003.791769574835
MN-0994,,,,,,,107404.21022109412,34014.5557332832,,,63477.043672118714,-13003.791769666086
MN-0995,,,,,,,54814.31891550844,42708.94083265948,,,63477.043729511424,-13003.791769940517
MN-0996,,,,,,,41440.16552313966,42938.84043865261,,,63477.043743766626,-13003.791769941878
MN-0997,,,,,,,99357.05012907564,62187.707449531365,,,63477.04368104371,-13003.791770552032
MN-0998,,,,,,,54927.659198494606,48163.83148395085,,,63477.043729511424,-13003.79177010395
MN-0999,,,,,,,66375.02778009839,35268.553584154775,,,63477.04371624787,-13003.79176970422
MN-1000,,,,,,,55381.02033043932,39929.24559656082,,,63477.043730379126,-13003.791769883315
MN-1001,,,,,,,38493.31816549908,15413.587612021436,,,63477.04374798121,-13003.791769068872
MN-1002,,,,,,,9364.865438051833,11756.093880312663,,,63477.04377785517,-13003.791768940166
MN-1003,,,,,,,8458.143174162422,10940.995277246135,,,63477.04378021037,-13003.791768918376
MN-1004,,,,,,,7211.400061314486,4420.206452713923,,,63477.04378144996,-13003.79176870523
MN-1005,,,,,,,63654.86098843018,27096.667589308323,,,63477.04371922288,-13003.791769417528
MN-1006,,,,,,,18545.428359932095,7429.801294805713,,,63477.04377178121,-13003.79176880329
MN-1007,,,,,,,24439.123075213247,15100.088149303545,,,63477.043763476,-13003.791769050486
MN-1008,,,,,,,8118.122325203896,6928.202154457081,,,63477.043780086424,-13003.79176879648
MN-1009,,,12480.89369128761,10562.318118876181,,,,,,,,
MN-1010,,,30936.081794393747,14737.630664640705,,,,,,,,
MN-1011,,,44232.987508432954,25985.41140016963,,,,,,,,
MN-1012,,,48818.12740982578,17059.615702846484,,,,,,,,
MN-1013,,,9385.924257847451,5300.572206611703,,,,,,,,
MN-1014,,,9729.809750451914,5257.9669765528815,,,,,,,,
MN-1015,,,11563.865711009046,13331.658072699587,,,,,,,,
MN-1016,,,56268.979749589125,19956.77134684636,,,,,,,,
MN-1017,,,24402.25743490897,40428.58439011018,,,,,,,,
MN-1018,,,34604.19371550801,10264.08150846443,,,,,,,,
MN-1019,,,16607.519602541153,14481.999284287775,,,,,,,,
MN-1020,,,45264.64398624634,10477.107658758538,,,,,,,,
MN-1021,,,11793.122706078688,8687.687996288025,8027.189147702247,,,,8027.189147702247,9207.51517261347,,
MN-1022,,,30362.939306719647,7494.741554641019,,,,,,,,
MN-1023,,,24173.00043983933,10754.04165414088,,,,,,,,
MN-1024,,,38043.048641552625,13182.539767493714,,,,,,,,
MN-1025,,,9385.924257847451,18359.07521964055,,,,,,,,
MN-1026,,,52715.49632600968,20553.244567669863,,,,,,,,
MN-1027,,,12251.636696217969,7920.793855229236,,,,,,,,
MN-1028,,,12022.379701148328,11073.580879582041,,,,,,,,
MN-1029,,,28528.88334616251,8112.517390493933,,,,,,,,
MN-1030,,,42284.303050341,12628.671776729032,,,,,,,,
MN-1031,,,8239.639282499244,5641.414047082276,,,,,8027.189147702247,,,
MN-1032,,,46869.442951733836,17528.273233493524,,,,,,,,
MN-1033,,,10073.695243056376,15717.550955993604,,,,,,,,
MN-1034,,,17868.433075424186,16399.23463693475,,,,,,,,
MN-1035,,,71170.68442911583,31587.99915290469,,,,,,,,
MN-1036,,,28758.140341232156,17762.601998817045,,,,,,,,
MN-1037,,,,,12272.018037159069,13182.62737102143,,,,,,
MN-1038,,,,,22138.377077518166,11796.224719947968,,,,,,
MN-1039,,,,,11698.392511556794,20461.241289157115,,,,,,
MN-1040,,,,,25350.680020890894,25290.543857063014,,,,,,
MN-1041,,,,,22138.377077518166,10802.636153345316,,,,,,
MN-1042,,,,,18811.34902902498,13945.148829111838,,,,,,
MN-1043,,,,,27186.281702818167,19398.332590000795,,,,,,
MN-1044,,,,,13533.994193484068,34417.69464329664,,,,,,
MN-1045,,,,,17434.647767579525,17619.115854456515,,,,,,
MN-1046,,,,,17205.197557338615,26815.586773243824,,,,,,
MN-1047,,,,,17205.197557338615,13367.481057831228,,,,,,
MN-1048,,,,,16287.396716374982,10294.28851461838,,,,,,
MN-1323,,,,,182868.249351275,21177.54932554507,,,,,,
MN-1324,,,,,223480.93656391598,16117.17964912693,,,,,,
MN-1325,,,,,205124.91974464318,20207.067469793645,,,,,,
MN-1326,,,,,228528.84118921598,20599.88155426446,,,,,,
MN-1327,,,,,243098.92953951372,18127.46349318345,,,,,,
MN-1328,,,,,222907.31103831372,18612.704421059163,,,,,,
MN-1329,,,,,244819.80611632057,22309.778157255067,,,,,,
MN-1330,,,,,183327.14977175687,18404.744023398147,,,,,,
MN-1331,,,,,242640.02911903188,15262.231347631627,,,,,,
MN-1332,,,,,226349.0641919273,16302.033335936727,,,,,,
MN-1333,,,,,225201.81314072278,17942.609806373657,,,,,,
MN-1334,,,,,216482.70515156823,19121.0520597861,,,,,,
